item_key,y_ord,interface_cond,prob,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
r1,1,chatbot,0.24085098983837533,0.04431237157185208,Inf,0.15400033748798872,0.32770164218876197,0.15400033748798872,0.32770164218876197,NA,NA
r1,2,chatbot,0.19984144843216625,0.02458925016140341,Inf,0.15164740370896987,0.24803549315536264,0.15164740370896987,0.24803549315536264,NA,NA
r1,3,chatbot,0.12793960799321896,0.01861589430579481,Inf,0.09145312561385688,0.16442609037258105,0.09145312561385688,0.16442609037258105,NA,NA
r1,4,chatbot,0.11212573008629077,0.017667986451273952,Inf,0.0774971129624522,0.14675434721012937,0.0774971129624522,0.14675434721012937,NA,NA
r1,5,chatbot,0.09370824269789663,0.016908338269669462,Inf,0.06056850865092419,0.12684797674486906,0.06056850865092419,0.12684797674486906,NA,NA
r1,6,chatbot,0.14690154544431075,0.025773859883740684,Inf,0.09638570832959731,0.1974173825590242,0.09638570832959731,0.1974173825590242,NA,NA
r1,7,chatbot,0.07863243550774135,0.022629230096253786,Inf,0.03427995952121408,0.12298491149426863,0.03427995952121408,0.12298491149426863,NA,NA
r1,1,dashboard,0.2002490893851376,0.038896061174769125,Inf,0.12401421034212344,0.27648396842815176,0.12401421034212344,0.27648396842815176,NA,NA
r1,2,dashboard,0.1877624382101859,0.023896842119004877,Inf,0.14092548831269652,0.23459938810767528,0.14092548831269652,0.23459938810767528,NA,NA
r1,3,dashboard,0.12682804573815218,0.01851377237631002,Inf,0.09054171866261201,0.16311437281369234,0.09054171866261201,0.16311437281369234,NA,NA
r1,4,dashboard,0.11554354264721992,0.017852677508425695,Inf,0.0805529377030973,0.15053414759134254,0.0805529377030973,0.15053414759134254,NA,NA
r1,5,dashboard,0.10029972137141568,0.017298521008041298,Inf,0.06639524320984524,0.13420419953298612,0.06639524320984524,0.13420419953298612,NA,NA
r1,6,dashboard,0.16734220817395223,0.025846937102409616,Inf,0.11668314234255733,0.21800127400534713,0.11668314234255733,0.21800127400534713,NA,NA
r1,7,dashboard,0.10197495447393645,0.025896294855829508,Inf,0.05121914922348075,0.15273075972439215,0.05121914922348075,0.15273075972439215,NA,NA
r2,1,chatbot,0.1706444464834005,0.031232809014872114,Inf,0.10942926567823325,0.23185962728856774,0.10942926567823325,0.23185962728856774,NA,NA
r2,2,chatbot,0.15188509109984696,0.021687067875329903,Inf,0.10937921913392477,0.19439096306576914,0.10937921913392477,0.19439096306576914,NA,NA
r2,3,chatbot,0.10392143845356241,0.016889182015317184,Inf,0.07081924997519913,0.1370236269319257,0.07081924997519913,0.1370236269319257,NA,NA
r2,4,chatbot,0.13486064203991677,0.018468352269124626,Inf,0.09866333673863392,0.1710579473411996,0.09866333673863392,0.1710579473411996,NA,NA
r2,5,chatbot,0.1774416984336631,0.021321276691807875,Inf,0.13565276401330634,0.21923063285401984,0.13565276401330634,0.21923063285401984,NA,NA
r2,6,chatbot,0.16706164395207607,0.024367817976192536,Inf,0.11930159833691101,0.21482168956724113,0.11930159833691101,0.21482168956724113,NA,NA
r2,7,chatbot,0.09418503953753421,0.023225025896049325,Inf,0.048664825241267445,0.13970525383380097,0.048664825241267445,0.13970525383380097,NA,NA
r2,1,dashboard,0.14563596533675105,0.027574399741049423,Inf,0.0915911349489836,0.1996807957245185,0.0915911349489836,0.1996807957245185,NA,NA
r2,2,dashboard,0.14098209727531222,0.020361198991633717,Inf,0.10107488056965688,0.18088931398096755,0.10107488056965688,0.18088931398096755,NA,NA
r2,3,dashboard,0.10008229487814811,0.016414456475905493,Inf,0.0679105513595731,0.13225403839672312,0.0679105513595731,0.13225403839672312,NA,NA
r2,4,dashboard,0.13382822172659553,0.01840776055405504,Inf,0.0977496740046106,0.16990676944858046,0.0977496740046106,0.16990676944858046,NA,NA
