item_key,term,component,Estimate,Std. Error,z value,Pr(>|z|),estimate,SE,z.ratio,p.value,p.value.raw,conf.low,conf.high,lower.CL,upper.CL
r1,industry_roleMiddle Management,location,0.264610558237518,0.28215475275510427,0.9378206663319483,0.3483365786495895,0.264610558237518,0.28215475275510427,0.9378206663319483,0.3483365786495895,0.3483365786495895,-0.2884025952292898,0.8176237117043258,-0.2884025952292898,0.8176237117043258
r1,industry_roleUpper Management,location,-0.01874152459339163,0.33794713648859714,-0.055456971134963284,0.9557744092247963,-0.01874152459339163,0.33794713648859714,-0.055456971134963284,0.9557744092247963,0.9557744092247963,-0.6811057407894838,0.6436226916027006,-0.6811057407894838,0.6436226916027006
r1,interface_conddashboard,location,0.16872338367885673,0.20307340774468707,0.830849226162508,0.4060588097900369,0.16872338367885673,0.20307340774468707,0.830849226162508,0.4060588097900369,0.4060588097900369,-0.22929318171854715,0.5667399490762606,-0.22929318171854715,0.5667399490762606
r1,task_complexitymid,location,-0.7577441316310909,0.13824675035011572,-5.481099047262029,4.22691745624699e-8,-0.7577441316310909,0.13824675035011572,-5.481099047262029,4.22691745624699e-8,4.22691745624699e-8,-1.0287027832970177,-0.486785479965164,-1.0287027832970177,-0.486785479965164
r1,task_complexityhard,location,-1.6534780187118163,0.1571496130416044,-10.52168049738734,6.863828440714825e-26,-1.6534780187118163,0.1571496130416044,-10.52168049738734,6.863828440714825e-26,6.863828440714825e-26,-1.9614856004577668,-1.3454704369658659,-1.9614856004577668,-1.3454704369658659
r2,industry_roleMiddle Management,location,-0.10657863372508615,0.22816133956638227,-0.467119600225163,0.6404143118205132,-0.10657863372508615,0.22816133956638227,-0.467119600225163,0.6404143118205132,0.6404143118205132,-0.5537666419396089,0.3406093744894366,-0.5537666419396089,0.3406093744894366
r2,industry_roleUpper Management,location,0.24026598290736045,0.27122754865434745,0.8858465303373573,0.37570023232744404,0.24026598290736045,0.27122754865434745,0.8858465303373573,0.37570023232744404,0.37570023232744404,-0.29133024407024566,0.7718622098849666,-0.29133024407024566,0.7718622098849666
r2,interface_conddashboard,location,0.1215927642912532,0.16293979049697646,0.7462435290998456,0.4555203174477461,0.1215927642912532,0.16293979049697646,0.7462435290998456,0.4555203174477461,0.4555203174477461,-0.19776335673132234,0.44094888531382875,-0.19776335673132234,0.44094888531382875
r2,task_complexitymid,location,0.7979719676840968,0.1360424111544437,5.865611767040721,4.4747971781594054e-9,0.7979719676840968,0.1360424111544437,5.865611767040721,4.4747971781594054e-9,4.4747971781594054e-9,0.5313337414513971,1.0646101939167965,0.5313337414513971,1.0646101939167965
r2,task_complexityhard,location,1.4219024477516098,0.14638447647761876,9.713478382176742,2.6416497333341794e-22,1.4219024477516098,0.14638447647761876,9.713478382176742,2.6416497333341794e-22,2.6416497333341794e-22,1.1349941459597264,1.7088107495434932,1.1349941459597264,1.7088107495434932
r3,industry_roleMiddle Management,location,-0.41999153461682576,0.2727509388268539,-1.5398353399745481,0.1236004952294349,-0.41999153461682576,0.2727509388268539,-1.5398353399745481,0.1236004952294349,0.1236004952294349,-0.9545735514669467,0.11459048223329521,-0.9545735514669467,0.11459048223329521
r3,industry_roleUpper Management,location,-0.20668943239706605,0.32405581955119445,-0.6378204615591333,0.5235905583928202,-0.20668943239706605,0.32405581955119445,-0.6378204615591333,0.5235905583928202,0.5235905583928202,-0.8418271676980177,0.4284483029038856,-0.8418271676980177,0.4284483029038856
r3,interface_conddashboard,location,-0.5174483314049332,0.1949589490197776,-2.6541399305165556,0.007951084705396839,-0.5174483314049332,0.1949589490197776,-2.6541399305165556,0.007951084705396839,0.007951084705396839,-0.8995608499474776,-0.13533581286238872,-0.8995608499474776,-0.13533581286238872
r3,task_complexitymid,location,0.5854028377545285,0.13401260947196283,4.368266837435192,1.252364237000424e-5,0.5854028377545285,0.13401260947196283,4.368266837435192,1.252364237000424e-5,1.252364237000424e-5,0.3227429497152501,0.8480627257938069,0.3227429497152501,0.8480627257938069
r3,task_complexityhard,location,1.259021704091057,0.14513486455526586,8.674839832241924,4.141329394441207e-18,1.259021704091057,0.14513486455526586,8.674839832241924,4.141329394441207e-18,4.141329394441207e-18,0.9745625966616371,1.5434808115204768,0.9745625966616371,1.5434808115204768
