task_mean__T1,task_mean__T2,task_mean__T3,task_diff_T2_T1,task_diff_T3_T1,task_diff_T3_T2,task_h_T2_T1,task_h_T3_T1,task_h_T3_T2,adj_mean_chatbot,adj_mean_dashboard,adj_diff_interface
0.8552719579264025,0.8553543754049401,0.4844795112168896,8.241747853754422e-05,-0.37079244670951295,-0.3708748641880505,0.00023428379114509568,-0.8213168614944237,-0.8215511452855688,0.7375182325199154,0.7258856638455725,0.011632568674342925
0.8951448360794856,0.8558246471403675,0.46803249958055326,-0.03932018893911804,-0.4271123364989323,-0.3877921475598143,-0.11943854744955518,-0.9752602462026891,-0.855821698753134,0.732410579449077,0.7469240757511942,-0.01451349630211729
0.9017445330400297,0.8664013431728376,0.5136187565154862,-0.03534318986719209,-0.3881257765245435,-0.3527825866573514,-0.11070128961315051,-0.9058921996718161,-0.7951909100586656,0.754995967875657,0.7661804539432451,-0.01118448606758804
0.8989171974343925,0.8345974307078087,0.4720280271083623,-0.0643197667265838,-0.4268891703260302,-0.3625694035994464,-0.1905697588057378,-0.9796676802036872,-0.7890979213979494,0.7530532867703409,0.7173084833967017,0.03574480337363917
0.8715218235821389,0.8482924102236455,0.5068833709433165,-0.023229413358493378,-0.36463845263882244,-0.34140903928032906,-0.06698041830269741,-0.8238396682582982,-0.7568592499556008,0.7456167945731426,0.7388482752595914,0.006768519313551158
0.8966105773633515,0.855652726041431,0.4869153385207416,-0.040957851321920424,-0.4096952388426099,-0.36873738752068946,-0.12472699909001506,-0.9422530602925518,-0.8175260612025368,0.7670601433798426,0.7257256179038399,0.04133452547600269
0.9177449059569007,0.8566083859681478,0.47438459472651817,-0.06113651998875291,-0.44336031123038255,-0.38222379124162964,-0.19494678706549573,-1.04027679708377,-0.8453300100182743,0.7557355777459314,0.7434230133551132,0.012312564390818181
0.912451578349543,0.8463128963984602,0.4558751935336466,-0.06613868195108286,-0.45657638481589646,-0.3904377028648136,-0.20490776126639165,-1.0583954217007716,-0.85348766043438,0.7637870974322265,0.7126393480888732,0.05114774934335331
0.8715330077487928,0.8326569224896542,0.49857696167346793,-0.03887608525913866,-0.3729560460753249,-0.33407996081618624,-0.10972614367438771,-0.8404863494878692,-0.7307602058134814,0.7485264265144415,0.7199848347601686,0.028541591754272844
0.8798356593946489,0.8310131470501217,0.46802157763607755,-0.04882251234452717,-0.41181408175857137,-0.3629915694140442,-0.139288399859971,-0.9268080687162783,-0.7875196688563073,0.7456457279634741,0.7069345280904247,0.038711199873049384
0.8636130438178561,0.8396323100876759,0.47648146204301334,-0.02398073373018017,-0.38713158177484275,-0.3631508480446626,-0.06751184723749803,-0.8613264293151728,-0.7938145820776747,0.7464408173844262,0.7067103932479372,0.039730424136489084
0.8856383750847493,0.8599070318203123,0.4514501684828789,-0.025731343264437045,-0.4341882066018704,-0.40845686333743336,-0.07731018684827573,-0.9780975087375359,-0.9007873218892601,0.7486989047431504,0.715964812182143,0.032734092561007344
0.9040465622240141,0.8499041520335839,0.4805287535470739,-0.0541424101904302,-0.4235178086769402,-0.36937539848651,-0.1657786066233249,-0.979860052997261,-0.8140814463739361,0.763032118817227,0.7266208597192212,0.0364112590980058
