item_key,interface_cond,task_complexity,mean.class,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL,p.value.raw,p.value
r1,chatbot,easy,4.8746051019167895,0.33722522326085785,Inf,4.21365580964703,5.5355543941865495,4.21365580964703,5.5355543941865495,NA,NA
r1,dashboard,easy,4.874409473678583,0.31764632101989054,Inf,4.2518341246579485,5.496984822699217,4.2518341246579485,5.496984822699217,NA,NA
r1,chatbot,mid,3.066829589938616,0.3301602650753291,Inf,2.4197273612647736,3.7139318186124584,2.4197273612647736,3.7139318186124584,NA,NA
r1,dashboard,mid,3.9361844248399933,0.3326902172516721,Inf,3.28412358101791,4.588245268662076,3.28412358101791,4.588245268662076,NA,NA
r1,chatbot,hard,2.1367147259097896,0.25393965917284433,Inf,1.6390021396846386,2.6344273121349406,1.6390021396846386,2.6344273121349406,NA,NA
r1,dashboard,hard,2.1256149581982617,0.23637714582664796,Inf,1.6623242656096595,2.588905650786864,1.6623242656096595,2.588905650786864,NA,NA
r2,chatbot,easy,2.442804867708187,0.25641346908616997,Inf,1.9402437031483193,2.9453660322680544,1.9402437031483193,2.9453660322680544,NA,NA
r2,dashboard,easy,2.989670510543583,0.2691803854897772,Inf,2.4620866496390112,3.5172543714481543,2.4620866496390112,3.5172543714481543,NA,NA
r2,chatbot,mid,3.9699324069789537,0.29574279330049613,Inf,3.390287183422708,4.549577630535199,3.390287183422708,4.549577630535199,NA,NA
r2,dashboard,mid,4.1879040448405345,0.2758105759476084,Inf,3.647325249427973,4.728482840253096,3.647325249427973,4.728482840253096,NA,NA
r2,chatbot,hard,5.195807655443032,0.25356500962523293,Inf,4.698829368838023,5.69278594204804,4.698829368838023,5.69278594204804,NA,NA
r2,dashboard,hard,5.049003423627878,0.24966866419759198,Inf,4.559661833732372,5.538345013523383,4.559661833732372,5.538345013523383,NA,NA
r3,chatbot,easy,4.45745241134847,0.2957065546746238,Inf,3.877878214193783,5.037026608503157,3.877878214193783,5.037026608503157,NA,NA
r3,dashboard,easy,3.7591964286692487,0.29683538918796254,Inf,3.177409756523912,4.340983100814586,3.177409756523912,4.340983100814586,NA,NA
r3,chatbot,mid,5.4608522863576106,0.23885672522917897,Inf,4.99270170744324,5.929002865271981,4.99270170744324,5.929002865271981,NA,NA
r3,dashboard,mid,4.537081355962108,0.27582308351739343,Inf,3.996478046163234,5.077684665760983,3.996478046163234,5.077684665760983,NA,NA
r3,chatbot,hard,6.091865003418146,0.18322503804387527,Inf,5.73275052778617,6.4509794790501225,5.73275052778617,6.4509794790501225,NA,NA
r3,dashboard,hard,5.591586608961382,0.215513503516515,Inf,5.169187903886966,6.013985314035798,5.169187903886966,6.013985314035798,NA,NA
