item_key,contrast,interface_cond,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL,p.value.raw
r1,mid_minus_easy,chatbot,-1.8077755119781738,0.3309734674761176,Inf,-2.6001193073918873,-1.01543171656446,-5.4619952643443215,9.416252848423662e-8,-2.6001193073918873,-1.01543171656446,9.416252848423662e-8
r1,hard_minus_easy,chatbot,-2.7378903760070004,0.3112383951570957,Inf,-3.4829888069410186,-1.9927919450729823,-8.79676292709666,4.224581314878999e-18,-3.4829888069410186,-1.9927919450729823,4.224581314878999e-18
r1,hard_minus_mid,chatbot,-0.9301148640288265,0.2999559754021645,Inf,-1.6482034099764657,-0.2120263180811871,-3.100837923904598,0.001929738839796273,-1.6482034099764657,-0.2120263180811871,0.001929738839796273
r1,mid_minus_easy,dashboard,-0.9382250488385895,0.3168951292058549,Inf,-1.6968655868182825,-0.17958451085889648,-2.9606799296341317,0.003069607611532928,-1.6968655868182825,-0.17958451085889648,0.003069607611532928
r1,hard_minus_easy,dashboard,-2.7487945154803213,0.2883234153260325,Inf,-3.4390349475855255,-2.058554083375117,-9.533719321311517,4.552407424065432e-21,-3.4390349475855255,-2.058554083375117,4.552407424065432e-21
r1,hard_minus_mid,dashboard,-1.8105694666417316,0.29525337725210304,Inf,-2.5174000876114597,-1.1037388456720032,-6.132256584133062,1.7328243026762833e-9,-2.5174000876114597,-1.1037388456720032,1.7328243026762833e-9
r2,mid_minus_easy,chatbot,1.5271275392707664,0.3097392710643741,Inf,0.7856179811321452,2.2686370974093877,4.930364606409171,1.6415257002651405e-6,0.7856179811321452,2.2686370974093877,1.6415257002651405e-6
r2,hard_minus_easy,chatbot,2.7530027877348444,0.2887951287080158,Inf,2.061633083321868,3.4443724921478207,9.532718921025317,4.596503836876426e-21,2.061633083321868,3.4443724921478207,4.596503836876426e-21
r2,hard_minus_mid,chatbot,1.2258752484640778,0.30710870825818276,Inf,0.4906632045456325,1.961087292382523,3.9916655422010976,6.56108637097748e-5,0.4906632045456325,1.961087292382523,6.56108637097748e-5
r2,mid_minus_easy,dashboard,1.1982335342969512,0.30301422347834184,Inf,0.47282360423210945,1.923643464361793,3.954380492579735,1.534664275272646e-4,0.47282360423210945,1.923643464361793,1.534664275272646e-4
r2,hard_minus_easy,dashboard,2.0593329130842952,0.29073286207376836,Inf,1.363324314136273,2.7553415120323175,7.083247825496161,4.224435601495778e-12,1.363324314136273,2.7553415120323175,4.224435601495778e-12
r2,hard_minus_mid,dashboard,0.8610993787873438,0.2919449661917811,Inf,0.16218902706552218,1.5600097305091654,2.949526378275282,0.003182614032134479,0.16218902706552218,1.5600097305091654,0.003182614032134479
r3,mid_minus_easy,chatbot,1.003399875009141,0.2749138772966068,Inf,0.3452616060712801,1.661538143947002,3.649869860612983,5.247464071977846e-4,0.3452616060712801,1.661538143947002,5.247464071977846e-4
r3,hard_minus_easy,chatbot,1.6344125920696764,0.2651234835807037,Inf,0.9997123279199576,2.269112856219395,6.164722075900759,2.11821123679404e-9,0.9997123279199576,2.269112856219395,2.11821123679404e-9
r3,hard_minus_mid,chatbot,0.6310127170605353,0.2227164989045668,Inf,0.09783391759670124,1.1641915165243693,2.833255372476567,0.004607655974917064,0.09783391759670124,1.1641915165243693,0.004607655974917064
r3,mid_minus_easy,dashboard,0.7778849272928594,0.28887813183410305,Inf,0.08631651507270854,1.4694533395130103,2.6927788626782703,0.007085925037419521,0.08631651507270854,1.4694533395130103,0.007085925037419521
r3,hard_minus_easy,dashboard,1.8323901802921334,0.27083540927153693,Inf,1.1840156814204954,2.480764679163771,6.765696498920483,3.980081922102236e-11,1.1840156814204954,2.480764679163771,3.980081922102236e-11
r3,hard_minus_mid,dashboard,1.054505252999274,0.25516026536661307,Inf,0.443656731995272,1.665353774003276,4.132717339371653,7.169990036132107e-5,0.443656731995272,1.665353774003276,7.169990036132107e-5
