item_key,contrast,interface_cond,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL
r1,mid_minus_easy,chatbot,-1.813954742096822,0.3318449257819696,Inf,-2.6083847910911295,-1.0195246931025146,-5.466272349418522,9.191960313895771e-8,-2.6083847910911295,-1.0195246931025146
r1,hard_minus_easy,chatbot,-2.7848210873564794,0.308891279626141,Inf,-3.5243005711215516,-2.045341603591407,-9.015538058332432,5.877191621053194e-19,-3.5243005711215516,-2.045341603591407
r1,hard_minus_mid,chatbot,-0.9708663452596574,0.3093359402424259,Inf,-1.7114103375578904,-0.23032235296142445,-3.1385500970200604,0.0016978590970964786,-1.7114103375578904,-0.23032235296142445
r1,mid_minus_easy,dashboard,-0.931966181236535,0.3147678274881579,Inf,-1.6855140018759422,-0.17841836059712768,-2.960805075517437,0.003068360673849327,-1.6855140018759422,-0.17841836059712768
r1,hard_minus_easy,dashboard,-2.788241272879101,0.28584374076678437,Inf,-3.472545414179341,-2.103937131578861,-9.754424796567385,5.297968116561937e-22,-3.472545414179341,-2.103937131578861
r1,hard_minus_mid,dashboard,-1.8562750916425659,0.29670801575751593,Inf,-2.566588087810291,-1.1459620954748408,-6.256235062956988,7.887643651530122e-10,-2.566588087810291,-1.1459620954748408
r2,mid_minus_easy,chatbot,1.510411351165776,0.30673775088058475,Inf,0.776087371715894,2.244735330615658,4.924113014552911,1.6948770497431413e-6,0.776087371715894,2.244735330615658
r2,hard_minus_easy,chatbot,2.7615719781899726,0.28858909576554936,Inf,2.0706955124793582,3.452448443900587,9.569218029060536,3.231518553992116e-21,2.0706955124793582,3.452448443900587
r2,hard_minus_mid,chatbot,1.2511606270241964,0.3114231313418441,Inf,0.5056199413955953,1.9967013126527975,4.017558431299754,5.880425689787855e-5,0.5056199413955953,1.9967013126527975
r2,mid_minus_easy,dashboard,1.196764452284102,0.3029107142046438,Inf,0.47160232132958724,1.921926583238617,3.9508818809082418,1.5572749749938458e-4,0.47160232132958724,1.921926583238617
r2,hard_minus_easy,dashboard,2.069608947179822,0.29170419058378616,Inf,1.3712750073998292,2.7679428869598146,7.0948893227688075,3.883651340618138e-12,1.3712750073998292,2.7679428869598146
r2,hard_minus_mid,dashboard,0.8728444948957195,0.2958056731995827,Inf,0.16469168858420324,1.5809973012072356,2.9507361554448743,0.003170175944659586,0.16469168858420324,1.5809973012072356
r3,mid_minus_easy,chatbot,1.0379534302718225,0.2826572694895247,Inf,0.36127763684204384,1.7146292237016012,3.672127138800827,4.810799099729236e-4,0.36127763684204384,1.7146292237016012
r3,hard_minus_easy,chatbot,1.7061807886489342,0.2695702728109018,Inf,1.0608350009080705,2.351526576389798,6.32926164616744,7.39011283978842e-10,1.0608350009080705,2.351526576389798
r3,hard_minus_mid,chatbot,0.6682273583771116,0.2328307581801493,Inf,0.11083522651740607,1.225619490236817,2.8700132388010378,0.004104546135597685,0.11083522651740607,1.225619490236817
r3,mid_minus_easy,dashboard,0.7889285035961681,0.2931671529190696,Inf,0.08709226153761163,1.4907647456547246,2.6910535363215,0.007122676371019759,0.08709226153761163,1.4907647456547246
r3,hard_minus_easy,dashboard,1.8809489597741642,0.27357538081881533,Inf,1.2260150243662644,2.535882895182064,6.875432117263093,1.8540669438574996e-11,1.2260150243662644,2.535882895182064
r3,hard_minus_mid,dashboard,1.0920204561779963,0.26213663180172947,Inf,0.46447065485219374,1.7195702575037988,4.165844539438351,6.204040887350991e-5,0.46447065485219374,1.7195702575037988
