item_key,contrast,interface_cond,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,lower.CL,upper.CL
r1,mid_minus_easy,chatbot,-1.0325887615895657,0.20313902869155195,Inf,-1.5188994928318937,-0.5462780303472378,-5.083162837986477,7.424024069821996e-7,-1.5188994928318937,-0.5462780303472378
r1,hard_minus_easy,chatbot,-1.6646381917180244,0.21819469171650213,Inf,-2.1869918761149574,-1.1422845073210914,-7.629141564455976,7.089660622902379e-14,-2.1869918761149574,-1.1422845073210914
r1,hard_minus_mid,chatbot,-0.6320494301284587,0.20269081240982964,Inf,-1.1172871406463938,-0.14681171961052375,-3.1182934372500792,0.0018190159961875597,-1.1172871406463938,-0.14681171961052375
r1,mid_minus_easy,dashboard,-0.5348869357419632,0.18400788855625946,Inf,-0.9753981039529038,-0.09437576753102267,-2.9068695909655213,0.003650653557899642,-0.9753981039529038,-0.09437576753102267
r1,hard_minus_easy,dashboard,-1.6703464494671831,0.20222446941757297,Inf,-2.1544677442818685,-1.1862251546524976,-8.259863182126034,4.3751860684384987e-16,-2.1544677442818685,-1.1862251546524976
r1,hard_minus_mid,dashboard,-1.13545951372522,0.19213692933816706,Inf,-1.5954314413599482,-0.6754875860904916,-5.909637036650957,6.857247017269737e-9,-1.5954314413599482,-0.6754875860904916
r2,mid_minus_easy,chatbot,0.9265020936890497,0.19747480674648282,Inf,0.45375139536490594,1.3992527920131934,4.691748324526725,5.417604490840585e-6,0.45375139536490594,1.3992527920131934
r2,hard_minus_easy,chatbot,1.6723301629544773,0.20829509442321803,Inf,1.1736759145040043,2.1709844114049504,8.028658416489657,2.95632922379404e-15,1.1736759145040043,2.1709844114049504
r2,hard_minus_mid,chatbot,0.7458280692654277,0.19132261691290897,Inf,0.28780558912750853,1.203850549403347,3.8982744502440734,9.688057953111097e-5,0.28780558912750853,1.203850549403347
r2,mid_minus_easy,dashboard,0.6957758380858419,0.1822920607133638,Inf,0.25937232707075975,1.132179349100924,3.8168192041006135,2.7036630334298817e-4,0.25937232707075975,1.132179349100924
r2,hard_minus_easy,dashboard,1.2169919173726422,0.1889300701248973,Inf,0.7646971459153438,1.6692866888299407,6.441494022460888,3.549093281200793e-10,0.7646971459153438,1.6692866888299407
r2,hard_minus_mid,dashboard,0.5212160792868002,0.17938428440608567,Inf,0.09177372601373279,0.9506584325598677,2.905583847617801,0.003665686209355057,0.09177372601373279,0.9506584325598677
r3,mid_minus_easy,chatbot,0.7050867220249472,0.1946863536996485,Inf,0.23901152396766717,1.1711619200822272,3.6216545670823774,5.854496477046794e-4,0.23901152396766717,1.1711619200822272
r3,hard_minus_easy,chatbot,1.2820009795774359,0.20527184276550994,Inf,0.7905843345252839,1.7734176246295879,6.245381550171573,1.268300445364357e-9,0.7905843345252839,1.7734176246295879
r3,hard_minus_mid,chatbot,0.5769142575524887,0.1998540253295028,Inf,0.09846775800124236,1.0553607571037351,2.8866781972558226,0.003893322088523584,0.09846775800124236,1.0553607571037351
r3,mid_minus_easy,dashboard,0.4808734124927802,0.18125115305292427,Inf,0.046961813390266616,0.9147850115952938,2.6530778116063516,0.00797614814199226,0.046961813390266616,0.9147850115952938
r3,hard_minus_easy,dashboard,1.2414205444847086,0.1907754454060932,Inf,0.7847079818811427,1.6981331070882746,6.507234418151482,2.29640744895634e-10,0.7847079818811427,1.6981331070882746
r3,hard_minus_mid,dashboard,0.7605471319919284,0.18444417151096087,Inf,0.3189915112004275,1.2021027527834292,4.123454407702613,7.46464726478151e-5,0.3189915112004275,1.2021027527834292
