item_key,task_complexity,interface_cond,emmean,SE,df,asymp.LCL,asymp.UCL,lower.CL,upper.CL
r1,easy,chatbot,0.5852715042096668,0.19012583487349496,Inf,0.2126317153270073,0.9579112930923263,0.2126317153270073,0.9579112930923263
r1,mid,chatbot,-0.44731725737989886,0.18821959699992155,Inf,-0.8162208886843882,-0.07841362607540947,-0.8162208886843882,-0.07841362607540947
r1,hard,chatbot,-1.0793666875083576,0.1996966851031067,Inf,-1.470764998142483,-0.6879683768742322,-1.470764998142483,-0.6879683768742322
r1,easy,dashboard,0.5728058286615648,0.17906807424163967,Inf,0.22183885236700657,0.9237728049561231,0.22183885236700657,0.9237728049561231
r1,mid,dashboard,0.0379188929196016,0.1743563846272085,Inf,-0.30381334142434013,0.37965112726354333,-0.30381334142434013,0.37965112726354333
r1,hard,dashboard,-1.0975406208056184,0.18714470988470752,Inf,-1.4643375120768423,-0.7307437295343947,-1.4643375120768423,-0.7307437295343947
r2,easy,chatbot,-1.046225194958731,0.17413884857020998,Inf,-1.3875310664656166,-0.7049193234518452,-1.3875310664656166,-0.7049193234518452
r2,mid,chatbot,-0.11972310126968129,0.16056084823559114,Inf,-0.4344165811386413,0.19497037859927874,-0.4344165811386413,0.19497037859927874
r2,hard,chatbot,0.6261049679957463,0.16463346222273148,Inf,0.30342931138905715,0.9487806246024355,0.30342931138905715,0.9487806246024355
r2,easy,dashboard,-0.6671420252979916,0.15852390538302968,Inf,-0.9778431705373649,-0.3564408800586183,-0.9778431705373649,-0.3564408800586183
r2,mid,dashboard,0.02863381278785031,0.15176419606522742,Inf,-0.26881854564267077,0.3260861712183714,-0.26881854564267077,0.3260861712183714
r2,hard,dashboard,0.5498498920746505,0.15578717891689522,Inf,0.2445126321444383,0.8551871520048627,0.2445126321444383,0.8551871520048627
r3,easy,chatbot,0.12314883952713432,0.17813013724984894,Inf,-0.22597981404374626,0.4722774930980149,-0.22597981404374626,0.4722774930980149
r3,mid,chatbot,0.8282355615520814,0.18493574362547702,Inf,0.4657681645920137,1.1907029585121491,0.4657681645920137,1.1907029585121491
r3,hard,chatbot,1.4051498191045702,0.19670154875151089,Inf,1.0196218678483593,1.790677770360781,1.0196218678483593,1.790677770360781
r3,easy,dashboard,-0.30310431438310037,0.17015591207589562,Inf,-0.6366037738084198,0.03039514504221902,-0.6366037738084198,0.03039514504221902
r3,mid,dashboard,0.1777690981096798,0.16901069377249966,Inf,-0.15348577468654748,0.5090239709059071,-0.15348577468654748,0.5090239709059071
r3,hard,dashboard,0.9383162301016081,0.17665092312596992,Inf,0.5920867829389534,1.284545677264263,0.5920867829389534,1.284545677264263
